100,Bathroom,Sink faucet - hot
101,Bedroom,TV
102,Living room,Light switch
103,Hallway,Light switch
104,Kitchen,Cabinet
106,Bedroom,Light switch
107,Office/study,Light switch
108,Kitchen,Toaster
109,Bathroom,Light switch
110,Living room,Light switch
111,Kitchen,Cabinet
112,Bathroom,Toilet Flush 
114,Kitchen,Drawer
115,Kitchen,Microwave
116,Kitchen,Cabinet
117,Kitchen,Burner
118,Kitchen,Sink faucet - cold
119,Kitchen,Light switch
120,Den,Light switch
122,Den,Stereo
124,Kitchen,Containers
126,Den,Drawer
127,Bathroom,Medicine cabinet
128,Den,Drawer
130,Bathroom,Shower faucet
132,Dinning room,Drawer
133,Office/study,Door
134,Den,Door
135,Office/study,Drawer
137,Bathroom,Door
138,Butlers Pantry,Cabinet
139,Bathroom,Medicine cabinet
140,Dinning room,Cabinet
141,Living room,TV
142,Butlers Pantry,Cabinet
145,Dinning room,Light switch
51,Kitchen,Door
53,Butlers Pantry,Light switch
54,Kitchen,Cabinet
57,Butlers Pantry,Cabinet
60,Bathroom,Shower faucet
61,Dinning room,Cabinet
63,Butlers Pantry,Drawer
64,Kitchen,Cabinet
66,Kitchen,Refrigerator
67,Butlers Pantry,Cabinet
68,Office/study,Drawer
69,Den,Telephone
70,Kitchen,Freezer
71,Office/study,Drawer
72,Dinning room,Drawer
73,Butlers Pantry,Cabinet
74,Kitchen,Refrigerator
75,Kitchen,Light switch
76,Butlers Pantry,Cabinet
77,Butlers Pantry,Drawer
78,Bathroom,Hamper
79,Butlers Pantry,Cabinet
82,Office/study,Drawer
84,Kitchen,Garbage disposal
85,Hallway,Door
87,Kitchen,Refrigerator
89,Butlers Pantry,Drawer
91,Kitchen,Sink faucet - cold
94,Bathroom,Sink faucet - cold
95,Hallway,Light switch
96,Kitchen,Sink faucet - cold
97,Kitchen,Refrigerator
98,Den,Light switch
99,Hallway,Light switch
