        mark         | zone | number | state | level | source  |    info    
---------------------+------+--------+-------+-------+---------+------------
 2005-01-17 16:55:38 | V    |     19 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:55:38 | V    |     22 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:55:38 | S    |      1 |     1 |    10 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |      2 |     1 |   160 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |      3 |     1 |    13 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |      5 |     1 |    10 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |      6 |     1 |   158 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |      7 |     1 |   107 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |      8 |     1 |    12 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |      9 |     1 |    10 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     13 |     1 |     9 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     14 |     1 |     7 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     15 |     1 |     8 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     16 |     1 |     7 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     17 |     1 |    43 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     18 |     1 |   159 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     19 |     1 |   249 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     65 |     1 |    46 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     66 |     1 |    30 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     67 |     1 |     7 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     68 |     1 |     7 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     69 |     1 |     8 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     73 |     1 |     7 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     74 |     1 |   158 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     75 |     1 |    12 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     77 |     1 |     7 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     78 |     1 |   160 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     79 |     1 |   107 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     81 |     1 |     5 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     82 |     1 |   163 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     83 |     1 |    12 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     84 |     1 |    13 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     85 |     1 |     7 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     86 |     1 |   160 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     87 |     1 |    11 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |     88 |     1 |    10 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |    129 |     1 |    10 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |    130 |     1 |   178 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |    133 |     1 |   185 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |    134 |     1 |   171 | ArgusMS | inhabitant
 2005-01-17 16:55:38 | S    |    137 |     1 |     7 | ArgusMS | inhabitant
 2005-01-17 16:55:39 | S    |    138 |     1 |   179 | ArgusMS | inhabitant
 2005-01-17 16:55:39 | S    |    139 |     1 |   108 | ArgusMS | inhabitant
 2005-01-17 16:55:39 | S    |    140 |     1 |    11 | ArgusMS | inhabitant
 2005-01-17 16:55:39 | V    |     19 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:55:39 | S    |     19 |     1 |   253 | ArgusMS | inhabitant
 2005-01-17 16:55:39 | S    |     19 |     1 |   248 | ArgusMS | inhabitant
 2005-01-17 16:55:39 | S    |     17 |     1 |    50 | ArgusMS | inhabitant
 2005-01-17 16:55:39 | S    |     19 |     1 |   252 | ArgusMS | inhabitant
 2005-01-17 16:55:40 | S    |     17 |     1 |    42 | ArgusMS | inhabitant
 2005-01-17 16:55:40 | S    |     19 |     1 |   248 | ArgusMS | inhabitant
 2005-01-17 16:55:40 | S    |     17 |     1 |    46 | ArgusMS | inhabitant
 2005-01-17 16:55:41 | S    |     17 |     1 |    39 | ArgusMS | inhabitant
 2005-01-17 16:55:41 | V    |     19 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:55:42 | S    |     17 |     1 |    44 | ArgusMS | inhabitant
 2005-01-17 16:55:42 | S    |    137 |     1 |    25 | ArgusMS | inhabitant
 2005-01-17 16:55:42 | V    |     19 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:55:42 | S    |     17 |     1 |    52 | ArgusMS | inhabitant
 2005-01-17 16:55:43 | S    |     18 |     1 |   156 | ArgusMS | inhabitant
 2005-01-17 16:55:43 | S    |     19 |     1 |   246 | ArgusMS | inhabitant
 2005-01-17 16:55:44 | S    |     17 |     1 |    57 | ArgusMS | inhabitant
 2005-01-17 16:55:44 | S    |     18 |     1 |   163 | ArgusMS | inhabitant
 2005-01-17 16:55:45 | S    |     17 |     1 |    53 | ArgusMS | inhabitant
 2005-01-17 16:55:46 | S    |     17 |     1 |    46 | ArgusMS | inhabitant
 2005-01-17 16:55:46 | S    |     17 |     1 |    40 | ArgusMS | inhabitant
 2005-01-17 16:55:47 | S    |     17 |     1 |    54 | ArgusMS | inhabitant
 2005-01-17 16:55:47 | S    |     19 |     1 |   246 | ArgusMS | inhabitant
 2005-01-17 16:55:47 | S    |     17 |     1 |    42 | ArgusMS | inhabitant
 2005-01-17 16:55:39 | i    |      5 |     1 |   100 | X10     | inhabitant
 2005-01-17 16:55:48 | S    |     18 |     1 |   164 | ArgusMS | inhabitant
 2005-01-17 16:55:48 | S    |     19 |     1 |   250 | ArgusMS | inhabitant
 2005-01-17 16:55:48 | S    |     17 |     1 |    54 | ArgusMS | inhabitant
 2005-01-17 16:55:49 | S    |     18 |     1 |   156 | ArgusMS | inhabitant
 2005-01-17 16:55:49 | S    |     14 |     1 |    11 | ArgusMS | inhabitant
 2005-01-17 16:55:49 | S    |     17 |     1 |    47 | ArgusMS | inhabitant
 2005-01-17 16:55:50 | S    |     14 |     1 |     7 | ArgusMS | inhabitant
 2005-01-17 16:55:50 | S    |     18 |     1 |   161 | ArgusMS | inhabitant
 2005-01-17 16:55:50 | S    |     17 |     1 |    38 | ArgusMS | inhabitant
 2005-01-17 16:55:51 | S    |     17 |     1 |    52 | ArgusMS | inhabitant
 2005-01-17 16:55:51 | V    |     19 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:55:52 | S    |     17 |     1 |    43 | ArgusMS | inhabitant
 2005-01-17 16:55:52 | V    |     19 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:55:52 | S    |     17 |     1 |    38 | ArgusMS | inhabitant
 2005-01-17 16:55:52 | S    |     18 |     1 |   156 | ArgusMS | inhabitant
 2005-01-17 16:55:53 | S    |     17 |     1 |    49 | ArgusMS | inhabitant
 2005-01-17 16:55:53 | V    |     19 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:55:53 | S    |     17 |     1 |    38 | ArgusMS | inhabitant
 2005-01-17 16:55:53 | S    |     18 |     1 |   163 | ArgusMS | inhabitant
 2005-01-17 16:55:54 | V    |     19 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:55:54 | S    |     17 |     1 |    46 | ArgusMS | inhabitant
 2005-01-17 16:55:54 | S    |     18 |     1 |   158 | ArgusMS | inhabitant
 2005-01-17 16:55:55 | S    |     17 |     1 |    52 | ArgusMS | inhabitant
 2005-01-17 16:55:55 | V    |     19 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:55:55 | V    |     19 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:55:59 | S    |     17 |     1 |    48 | ArgusMS | inhabitant
 2005-01-17 16:55:59 | S    |     17 |     1 |    55 | ArgusMS | inhabitant
 2005-01-17 16:55:59 | V    |     19 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:56:00 | S    |     17 |     1 |    48 | ArgusMS | inhabitant
 2005-01-17 16:56:00 | V    |     19 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:56:00 | S    |     17 |     1 |    55 | ArgusMS | inhabitant
 2005-01-17 16:56:01 | S    |     17 |     1 |    48 | ArgusMS | inhabitant
 2005-01-17 16:56:01 | S    |     18 |     1 |   164 | ArgusMS | inhabitant
 2005-01-17 16:56:01 | S    |     17 |     1 |    40 | ArgusMS | inhabitant
 2005-01-17 16:56:01 | S    |     18 |     1 |   158 | ArgusMS | inhabitant
 2005-01-17 16:56:01 | V    |     19 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:56:02 | S    |     17 |     1 |    57 | ArgusMS | inhabitant
 2005-01-17 16:56:02 | V    |     19 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:56:02 | S    |     17 |     1 |    42 | ArgusMS | inhabitant
 2005-01-17 16:56:03 | S    |     18 |     1 |   156 | ArgusMS | inhabitant
 2005-01-17 16:56:03 | S    |     17 |     1 |    54 | ArgusMS | inhabitant
 2005-01-17 16:56:03 | S    |     18 |     1 |   161 | ArgusMS | inhabitant
 2005-01-17 16:56:05 | V    |     19 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:56:05 | S    |     17 |     1 |    47 | ArgusMS | inhabitant
 2005-01-17 16:56:05 | S    |     19 |     1 |   250 | ArgusMS | inhabitant
 2005-01-17 16:56:05 | V    |     19 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:56:06 | S    |     17 |     1 |    37 | ArgusMS | inhabitant
 2005-01-17 16:56:06 | S    |     18 |     1 |   163 | ArgusMS | inhabitant
 2005-01-17 16:56:06 | S    |     17 |     1 |    53 | ArgusMS | inhabitant
 2005-01-17 16:56:06 | S    |     18 |     1 |   158 | ArgusMS | inhabitant
 2005-01-17 16:56:07 | S    |    129 |     1 |    10 | ArgusMS | inhabitant
 2005-01-17 16:56:07 | S    |    133 |     1 |     9 | ArgusMS | inhabitant
 2005-01-17 16:56:07 | V    |     19 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:56:07 | V    |     17 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:56:07 | S    |     17 |     1 |    50 | ArgusMS | inhabitant
 2005-01-17 16:56:08 | S    |     17 |     1 |    42 | ArgusMS | inhabitant
 2005-01-17 16:56:08 | i    |      3 |     0 |     0 | X10     | inhabitant
 2005-01-17 16:56:09 | S    |     17 |     1 |    54 | ArgusMS | inhabitant
 2005-01-17 16:56:09 | S    |     19 |     1 |   247 | ArgusMS | inhabitant
 2005-01-17 16:56:09 | V    |     19 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:56:10 | V    |     12 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:56:10 | V    |     17 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:56:10 | S    |     17 |     1 |    39 | ArgusMS | inhabitant
 2005-01-17 16:56:10 | S    |     19 |     1 |   251 | ArgusMS | inhabitant
 2005-01-17 16:56:11 | S    |     17 |     1 |    46 | ArgusMS | inhabitant
 2005-01-17 16:56:11 | S    |     17 |     1 |    37 | ArgusMS | inhabitant
 2005-01-17 16:56:11 | S    |     18 |     1 |   161 | ArgusMS | inhabitant
 2005-01-17 16:56:12 | S    |     17 |     1 |    56 | ArgusMS | inhabitant
 2005-01-17 16:56:12 | S    |     18 |     1 |   164 | ArgusMS | inhabitant
 2005-01-17 16:56:13 | V    |     13 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:56:13 | S    |     18 |     1 |   158 | ArgusMS | inhabitant
 2005-01-17 16:56:13 | S    |     17 |     1 |    48 | ArgusMS | inhabitant
 2005-01-17 16:56:14 | V    |     14 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:56:14 | V    |      9 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:56:14 | S    |     18 |     1 |   163 | ArgusMS | inhabitant
 2005-01-17 16:56:14 | V    |     12 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:56:14 | S    |     17 |     1 |    53 | ArgusMS | inhabitant
 2005-01-17 16:56:15 | V    |     13 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:56:15 | S    |     18 |     1 |   157 | ArgusMS | inhabitant
 2005-01-17 16:56:16 | S    |     17 |     1 |    37 | ArgusMS | inhabitant
 2005-01-17 16:56:16 | S    |     18 |     1 |   164 | ArgusMS | inhabitant
 2005-01-17 16:56:16 | V    |     12 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:56:16 | V    |     14 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:56:16 | V    |     12 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:56:16 | S    |     17 |     1 |    56 | ArgusMS | inhabitant
 2005-01-17 16:56:16 | V    |     13 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:56:17 | S    |     17 |     1 |    49 | ArgusMS | inhabitant
 2005-01-17 16:56:17 | V    |     12 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:56:17 | V    |     13 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:56:18 | V    |     17 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:56:19 | V    |     12 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:56:19 | V    |     19 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:56:20 | V    |     17 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:56:20 | V    |      9 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:56:21 | V    |     19 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:56:21 | V    |     20 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:56:21 | S    |     17 |     1 |    54 | ArgusMS | inhabitant
 2005-01-17 16:56:21 | V    |     20 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:56:21 | S    |     17 |     1 |    48 | ArgusMS | inhabitant
 2005-01-17 16:56:22 | S    |     18 |     1 |   157 | ArgusMS | inhabitant
 2005-01-17 16:56:23 | S    |     17 |     1 |    53 | ArgusMS | inhabitant
 2005-01-17 16:56:23 | S    |    137 |     1 |     7 | ArgusMS | inhabitant
 2005-01-17 16:56:23 | S    |     17 |     1 |    46 | ArgusMS | inhabitant
 2005-01-17 16:56:23 | S    |     18 |     1 |   161 | ArgusMS | inhabitant
 2005-01-17 16:56:23 | S    |     19 |     1 |   246 | ArgusMS | inhabitant
 2005-01-17 16:56:24 | V    |     20 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:56:24 | S    |     17 |     1 |    51 | ArgusMS | inhabitant
 2005-01-17 16:56:24 | V    |     20 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:56:25 | S    |     18 |     1 |   162 | ArgusMS | inhabitant
 2005-01-17 16:56:26 | S    |     17 |     1 |    40 | ArgusMS | inhabitant
 2005-01-17 16:56:26 | S    |     18 |     1 |   157 | ArgusMS | inhabitant
 2005-01-17 16:56:26 | S    |     17 |     1 |    49 | ArgusMS | inhabitant
 2005-01-17 16:56:26 | S    |     18 |     1 |   162 | ArgusMS | inhabitant
 2005-01-17 16:56:26 | V    |     20 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:56:26 | V    |     25 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:56:27 | S    |     17 |     1 |    35 | ArgusMS | inhabitant
 2005-01-17 16:56:27 | V    |     20 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:56:27 | S    |     17 |     1 |    52 | ArgusMS | inhabitant
 2005-01-17 16:56:28 | S    |     17 |     1 |    56 | ArgusMS | inhabitant
 2005-01-17 16:56:28 | S    |     17 |     1 |    51 | ArgusMS | inhabitant
 2005-01-17 16:56:29 | S    |     18 |     1 |   156 | ArgusMS | inhabitant
 2005-01-17 16:56:30 | S    |     17 |     1 |    41 | ArgusMS | inhabitant
 2005-01-17 16:56:30 | S    |     18 |     1 |   162 | ArgusMS | inhabitant
 2005-01-17 16:56:30 | V    |     25 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:56:31 | S    |     17 |     1 |    47 | ArgusMS | inhabitant
 2005-01-17 16:56:31 | S    |     17 |     1 |    57 | ArgusMS | inhabitant
 2005-01-17 16:56:32 | S    |     17 |     1 |    46 | ArgusMS | inhabitant
 2005-01-17 16:56:32 | S    |     17 |     1 |    41 | ArgusMS | inhabitant
 2005-01-17 16:56:33 | S    |     17 |     1 |    46 | ArgusMS | inhabitant
 2005-01-17 16:56:33 | S    |     18 |     1 |   162 | ArgusMS | inhabitant
 2005-01-17 16:56:34 | V    |     25 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:56:34 | S    |     17 |     1 |    36 | ArgusMS | inhabitant
 2005-01-17 16:56:34 | S    |     17 |     1 |    50 | ArgusMS | inhabitant
 2005-01-17 16:56:35 | V    |     25 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:56:35 | S    |     17 |     1 |    56 | ArgusMS | inhabitant
 2005-01-17 16:56:35 | S    |     17 |     1 |    51 | ArgusMS | inhabitant
 2005-01-17 16:56:35 | S    |     19 |     1 |   247 | ArgusMS | inhabitant
 2005-01-17 16:56:36 | S    |     18 |     1 |   164 | ArgusMS | inhabitant
 2005-01-17 16:56:36 | S    |     19 |     1 |   251 | ArgusMS | inhabitant
 2005-01-17 16:56:37 | S    |     19 |     1 |   245 | ArgusMS | inhabitant
 2005-01-17 16:56:38 | S    |     18 |     1 |   156 | ArgusMS | inhabitant
 2005-01-17 16:56:38 | S    |     19 |     1 |   250 | ArgusMS | inhabitant
 2005-01-17 16:56:38 | S    |     17 |     1 |    55 | ArgusMS | inhabitant
 2005-01-17 16:56:38 | S    |     18 |     1 |   163 | ArgusMS | inhabitant
 2005-01-17 16:56:39 | S    |     18 |     1 |   158 | ArgusMS | inhabitant
 2005-01-17 16:56:39 | S    |     17 |     1 |    48 | ArgusMS | inhabitant
 2005-01-17 16:56:40 | S    |     17 |     1 |    55 | ArgusMS | inhabitant
 2005-01-17 16:56:40 | S    |     17 |     1 |    51 | ArgusMS | inhabitant
 2005-01-17 16:56:41 | S    |     17 |     1 |    44 | ArgusMS | inhabitant
 2005-01-17 16:56:41 | V    |     25 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:56:41 | S    |     17 |     1 |    38 | ArgusMS | inhabitant
 2005-01-17 16:56:41 | S    |     18 |     1 |   164 | ArgusMS | inhabitant
 2005-01-17 16:56:42 | S    |     17 |     1 |    46 | ArgusMS | inhabitant
 2005-01-17 16:56:42 | S    |     18 |     1 |   160 | ArgusMS | inhabitant
 2005-01-17 16:56:42 | S    |     17 |     1 |    56 | ArgusMS | inhabitant
 2005-01-17 16:56:43 | S    |     17 |     1 |    32 | ArgusMS | inhabitant
 2005-01-17 16:56:43 | S    |     18 |     1 |   158 | ArgusMS | inhabitant
 2005-01-17 16:56:44 | V    |     30 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:56:44 | S    |     17 |     1 |    42 | ArgusMS | inhabitant
 2005-01-17 16:56:44 | S    |     18 |     1 |   154 | ArgusMS | inhabitant
 2005-01-17 16:56:44 | S    |     17 |     1 |    50 | ArgusMS | inhabitant
 2005-01-17 16:56:44 | S    |     18 |     1 |   159 | ArgusMS | inhabitant
 2005-01-17 16:56:45 | S    |     17 |     1 |    41 | ArgusMS | inhabitant
 2005-01-17 16:56:45 | S    |     19 |     1 |   247 | ArgusMS | inhabitant
 2005-01-17 16:56:45 | S    |     17 |     1 |    56 | ArgusMS | inhabitant
 2005-01-17 16:56:46 | V    |     24 |     1 |   100 | ArgusD  | inhabitant
 2005-01-17 16:56:46 | V    |     25 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:56:46 | S    |     17 |     1 |    49 | ArgusMS | inhabitant
 2005-01-17 16:56:46 | V    |     30 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:56:46 | S    |     17 |     1 |    54 | ArgusMS | inhabitant
 2005-01-17 16:56:46 | S    |     19 |     1 |   251 | ArgusMS | inhabitant
 2005-01-17 16:56:46 | V    |     24 |     0 |     0 | ArgusD  | inhabitant
 2005-01-17 16:56:47 | S    |     17 |     1 |    39 | ArgusMS | inhabitant
 2005-01-17 16:56:47 | S    |     19 |     1 |   245 | ArgusMS | inhabitant
 2005-01-17 16:56:48 | S    |     17 |     1 |    44 | ArgusMS | inhabitant
 2005-01-17 16:56:48 | S    |     18 |     1 |   164 | ArgusMS | inhabitant
 2005-01-17 16:56:48 | S    |     19 |     1 |   249 | ArgusMS | inhabitant
 2005-01-17 16:56:48 | S    |     17 |     1 |    39 | ArgusMS | inhabitant
