"2019-04-14 12:34:20.849468" eating 1
"2019-04-14 12:37:00.849468" eating 0
"2019-04-15 16:19:26.889766" sleeping 1
"2019-04-15 16:19:31.237728" sleeping 0
"2019-04-15 16:19:31.238901" eating 1
"2019-04-15 16:19:33.626224" eating 0
"2019-04-15 16:19:33.627470" cooking 1
"2019-04-15 16:19:35.851276" cooking 0
"2019-04-15 16:19:35.852671" sleeping 1
"2019-04-15 16:19:37.791265" sleeping 0
"2019-04-15 16:19:42.121628" eating 1
"2019-04-15 16:19:44.294825" eating 0
"2019-04-15 16:19:44.295952" cooking 1
"2019-04-15 16:19:46.567921" cooking 0
"2019-04-15 16:19:46.569162" sleeping 1
"2019-04-15 16:19:48.938727" sleeping 0
"2019-04-15 16:19:48.940127" eating 1
"2019-04-15 16:19:50.849468" eating 0
"2019-04-18 08:10:35.852671" sleeping 1
"2019-04-18 08:10:37.791265" sleeping 0
"2019-04-18 08:10:42.121628" cooking 1
"2019-04-18 09:10:19.294825" cooking 0
"2019-04-18 09:10:44.295952" eating 1
"2019-04-18 09:10:46.567921" eating 0
"2019-04-18 09:10:46.569162" sleeping 1
"2019-04-18 09:10:48.938727" sleeping 0
"2019-04-18 09:10:48.940127" eating 1
"2019-04-18 09:10:50.849468" eating 0
